Project Name,Package Name,Type Name,Code Smell
monalisa-orm,test.com.tsc9526.monalisa.orm.dialect.basic,$Insert,Unutilized Abstraction
monalisa-orm,test.com.tsc9526.monalisa.orm.dialect.basic,$Delete,Unutilized Abstraction
monalisa-orm,test.com.tsc9526.monalisa.orm.dialect.basic,$Update,Unutilized Abstraction
monalisa-orm,test.com.tsc9526.monalisa.orm.dialect.basic,$Select,Cyclic-Dependent Modularization
monalisa-orm,test.com.tsc9526.monalisa.orm.dialect.basic,$SelectForExample,Unutilized Abstraction
monalisa-orm,test.com.tsc9526.monalisa.orm.dialect.basic,$Example,Cyclic-Dependent Modularization
monalisa-orm,test.com.tsc9526.monalisa.orm.dialect.basic,$Criteria,Deficient Encapsulation
monalisa-orm,test.com.tsc9526.monalisa.orm.dialect.basic,$Criteria,Cyclic-Dependent Modularization
monalisa-orm,test.com.tsc9526.monalisa.orm.dialect.basic,M,Deficient Encapsulation
monalisa-orm,test.com.tsc9526.monalisa.orm.dialect.basic,M,Broken Modularization
monalisa-orm,test.com.tsc9526.monalisa.orm.dialect.basic,CriteriaTest,Unutilized Abstraction
monalisa-orm,test.com.tsc9526.monalisa.orm.dialect.basic,TestSimpleDB,Unnecessary Abstraction
monalisa-orm,test.com.tsc9526.monalisa.orm.dialect.basic,TestSimpleDB,Unutilized Abstraction
monalisa-orm,test.com.tsc9526.monalisa.orm.dialect.basic,TestSimpleModel,Unutilized Abstraction
monalisa-orm,test.com.tsc9526.monalisa.orm.dialect.basic,TestSimpleModel,Deficient Encapsulation
monalisa-orm,test.com.tsc9526.monalisa.orm.dialect.basic,TestSimpleModel,Broken Hierarchy
monalisa-orm,test.com.tsc9526.monalisa.orm.dialect.basic,TestSimpleModel,Cyclic-Dependent Modularization
monalisa-orm,test.com.tsc9526.monalisa.orm.dialect.basic,TestSimpleModel,Insufficient Modularization
monalisa-orm,test.com.tsc9526.monalisa.orm.dialect.basic,Example,Cyclic-Dependent Modularization
monalisa-orm,test.com.tsc9526.monalisa.orm.dialect.basic,Criteria,Deficient Encapsulation
monalisa-orm,test.com.tsc9526.monalisa.orm.dialect.basic,Criteria,Cyclic-Dependent Modularization
monalisa-orm,test.com.tsc9526.monalisa.orm.dialect.mysql.cases,BatchQueryTest,Unutilized Abstraction
monalisa-orm,test.com.tsc9526.monalisa.orm.dialect.mysql.cases,ModelTest,Unutilized Abstraction
